"","ID","Height","FreshLeafMass","DryLeafMass","LDMC","LeafArea","SLA","ShootDryBiomass","RootDryBiomass","TotalBiomass","RMF","RootVol","RootDensity","CoarseRootDiameter","RootLength","FineRootLength","CoarseRootLength","CoarseRootSpecLength","FineRootSpecLength","PropFineRoots"
"AGSP","AGSP",4.03333333333333,0.0593883333333333,0.0124516666666667,0.2083536015,2.24133333333333,182.401380633333,0.136108333333333,0.0868333333333333,0.222941666666667,0.3918276545,2.36733333333333,0.0371741335,0.489016666666667,1430.12376666667,1177.19938333333,252.924383333333,2926.4440085,13780.0250865,0.802996617833333
"AICA","AICA",4.71666666666667,0.00290666666666667,0.000485,0.168191308,0.123833333333333,269.5568361,0.00229833333333333,0.00254166666666667,0.00484,0.457188208166667,1.50816666666667,0.001644597,1.07363333333333,165.814183333333,93.3229333333333,72.49125,52325.8380411667,60374.8590983333,0.5619898325
"AMME","AMME",13.25,0.071,0.0103716666666667,0.1459317695,1.9285,187.509775816667,0.237333333333333,0.0876666666666667,0.325,0.269022370666667,2.77866666666667,0.0317780826666667,0.527416666666667,1398.81481666667,1112.63048333333,286.184333333333,3309.72433283333,13113.9078636667,0.785204490666667
"ANAR","ANAR",3.68,0.031816,0.004562,0.1454426476,1.5552,348.65924456,0.061542,0.0464,0.107942,0.4100206154,1.677,0.0258521418,0.4391,1184.22276,1023.1221,161.10066,3971.6760228,24281.163134,0.8599243274
"APOC","APOC",3.28333333333333,0.0411383333333333,0.00508666666666667,0.129989891666667,1.5075,303.00286255,0.0996433333333333,0.0385,0.138143333333333,0.278895373833333,2.75983333333333,0.0137400555,1.05836666666667,353.325983333333,231.567733333333,121.75825,3781.1464765,7116.31940066667,0.627971850666667
"AVBA","AVBA",14.9166666666667,0.0666666666666667,0.015295,0.228480072333333,4.10866666666667,273.1988157,0.0346666666666667,0.073,0.103,0.7100314236,1.67133333333333,0.0461628584,0.479683333333333,898.06765,710.561216666667,187.506433333333,2554.2350408,10583.0773224,0.7933028545
"BRDI","BRDI",16.4833333333333,0.091,0.0143716666666667,0.156314540166667,5.46433333333333,391.758014066667,0.0567166666666667,0.143735,0.200451666666667,0.728337340333333,3.386,0.0413491445,0.86995,564.5173,407.9535,156.5638,1364.3556249,3679.44621033333,0.715030173
"BRHO","BRHO",10.4833333333333,0.0221358333333333,0.00359833333333333,0.1702056995,1.539,427.816855966667,0.0125983333333333,0.0199866666666667,0.032585,0.618561570833333,1.393,0.012538975,0.742116666666667,320.874116666667,226.829266666667,94.04485,8162.90739566667,20715.4921705,0.698047331166667
"BRMA","BRMA",10.72,0.0273254,0.00469,0.1840869322,2.051,428.3766952,0.014638,0.035658,0.050296,0.7198193282,1.395,0.0230014206,0.5915,528.6583,409.69206,118.96624,4748.535893,16783.4263294,0.7658971554
"BRMI","BRMI",4.85,0.09126425,0.002475,0.081920296125,1.38825,563.806018225,0.0150075,0.0125925,0.0276,0.4503854525,1.4785,0.0083904135,0.752325,356.18625,254.93275,101.2535,10148.429519125,23665.2921475,0.688882418375
